	MA	gene_name	gene_name2	ensembl-gene	ensembl-transcript
335	MA0745.1	SNAI2	SNAI2	ENSG00000019549	['ENST00000020945', 'ENST00000396822', 'ENST00000642303', 'ENST00000649776']
336	MA0746.1	SP3	SP3	ENSG00000172845	['ENST00000310015', 'ENST00000416195', 'ENST00000418194', 'ENST00000418620', 'ENST00000462904', 'ENST00000465379', 'ENST00000483084', 'ENST00000490182', 'ENST00000640958', 'ENST00000650743', 'ENST00000651846', 'ENST00000652005']
337	MA0747.1	SP8	SP8	ENSG00000164651	['ENST00000361443', 'ENST00000418710', 'ENST00000617581']
338	MA0748.1	YY2	YY2	ENSG00000230797	ENST00000429584
339	MA0749.1	ZBED1	ZBED1	ENSG00000214717	['ENST00000381218', 'ENST00000381222', 'ENST00000381223', 'ENST00000461691', 'ENST00000515319', 'ENST00000652001']
340	MA0750.1	ZBTB7A	ZBTB7A	ENSG00000178951	['ENST00000322357', 'ENST00000601588']
341	MA0750.2	ZBTB7A	ZBTB7A	ENSG00000178951	['ENST00000322357', 'ENST00000601588']
342	MA0751.1	ZIC4	ZIC4	ENSG00000174963	['ENST00000383075', 'ENST00000425731', 'ENST00000462748', 'ENST00000463250', 'ENST00000463850', 'ENST00000464144', 'ENST00000464502', 'ENST00000472749', 'ENST00000473123', 'ENST00000475502', 'ENST00000480015', 'ENST00000484399', 'ENST00000484586', 'ENST00000491672', 'ENST00000493664', 'ENST00000494569', 'ENST00000525172']
343	MA0752.1	ZNF410	ZNF410	ENSG00000119725	['ENST00000324593', 'ENST00000334521', 'ENST00000398139', 'ENST00000412490', 'ENST00000442160', 'ENST00000540593', 'ENST00000541357', 'ENST00000554316', 'ENST00000554582', 'ENST00000554797', 'ENST00000555044', 'ENST00000555602', 'ENST00000555620', 'ENST00000555730', 'ENST00000556160', 'ENST00000556179', 'ENST00000556396', 'ENST00000556659', 'ENST00000556797', 'ENST00000557214', 'ENST00000557363', 'ENST00000557495', 'ENST00000557679', 'ENST00000615736', 'ENST00000639051']
344	MA0753.1	ZNF740	ZNF740	ENSG00000139651	['ENST00000416904', 'ENST00000549739', 'ENST00000551514', 'ENST00000552593']
345	MA0754.1	CUX1	CUX1	ENSG00000257923	['ENST00000292535', 'ENST00000292538', 'ENST00000360264', 'ENST00000393824', 'ENST00000425244', 'ENST00000437600', 'ENST00000465461', 'ENST00000485792', 'ENST00000487284', 'ENST00000497815', 'ENST00000546411', 'ENST00000547394', 'ENST00000549414', 'ENST00000550008', 'ENST00000556210', 'ENST00000558469', 'ENST00000558836', 'ENST00000560541', 'ENST00000606749', 'ENST00000607092', 'ENST00000622516', 'ENST00000645010', 'ENST00000646649']
346	MA0755.1	CUX2	CUX2	ENSG00000111249	['ENST00000261726', 'ENST00000397643', 'ENST00000551604']
347	MA0756.1	ONECUT2	ONECUT2	ENSG00000119547	['ENST00000481727', 'ENST00000491143']
348	MA0757.1	ONECUT3	ONECUT3	ENSG00000205922	ENST00000382349
349	MA0758.1	E2F7	E2F7	ENSG00000165891	['ENST00000322886', 'ENST00000416496', 'ENST00000547316', 'ENST00000550669', 'ENST00000551058', 'ENST00000551558', 'ENST00000552907']
350	MA0759.1	ELK3	ELK3	ENSG00000111145	['ENST00000228741', 'ENST00000547249', 'ENST00000547860', 'ENST00000549529', 'ENST00000549985', 'ENST00000552142']
351	MA0760.1	ERF	ERF	ENSG00000105722	['ENST00000222329', 'ENST00000440177', 'ENST00000593944', 'ENST00000595448', 'ENST00000595941', 'ENST00000596818', 'ENST00000598965']
352	MA0761.1	ETV1	ETV1	ENSG00000006468	['ENST00000242066', 'ENST00000399357', 'ENST00000403527', 'ENST00000403685', 'ENST00000405192', 'ENST00000405218', 'ENST00000405358', 'ENST00000420159', 'ENST00000421381', 'ENST00000430479', 'ENST00000431887', 'ENST00000433547', 'ENST00000438956', 'ENST00000443137', 'ENST00000443608', 'ENST00000460438', 'ENST00000472931', 'ENST00000476355', 'ENST00000476720', 'ENST00000483075', 'ENST00000485475', 'ENST00000493831', 'ENST00000497115']
353	MA0762.1	ETV2	ETV2	ENSG00000105672	['ENST00000379023', 'ENST00000379026', 'ENST00000402764', 'ENST00000403402', 'ENST00000479824', 'ENST00000591135', 'ENST00000619399', 'ENST00000621247']
354	MA0763.1	ETV3	ETV3	ENSG00000117036	['ENST00000326786', 'ENST00000368192', 'ENST00000460850']
355	MA0764.1	ETV4	ETV4	ENSG00000175832	['ENST00000319349', 'ENST00000393664', 'ENST00000538265', 'ENST00000545089', 'ENST00000545954', 'ENST00000585508', 'ENST00000586764', 'ENST00000586826', 'ENST00000587151', 'ENST00000590236', 'ENST00000591713']
356	MA0765.1	ETV5	ETV5	ENSG00000244405	['ENST00000306376', 'ENST00000413301', 'ENST00000421809', 'ENST00000422039', 'ENST00000433149', 'ENST00000434744', 'ENST00000440773', 'ENST00000472868', 'ENST00000475484', 'ENST00000476890', 'ENST00000480706', 'ENST00000484223', 'ENST00000489830', 'ENST00000495808']
357	MA0766.1	GATA5	GATA5	ENSG00000130700	ENST00000252997
358	MA0767.1	GCM2	GCM2	ENSG00000124827	ENST00000379491
359	MA0768.1	LEF1	LEF1	ENSG00000138795	['ENST00000265165', 'ENST00000379951', 'ENST00000438313', 'ENST00000503879', 'ENST00000504426', 'ENST00000504775', 'ENST00000504950', 'ENST00000505293', 'ENST00000505297', 'ENST00000505328', 'ENST00000505379', 'ENST00000506680', 'ENST00000507470', 'ENST00000509428', 'ENST00000510135', 'ENST00000510624', 'ENST00000510717', 'ENST00000512172', 'ENST00000512407', 'ENST00000514444', 'ENST00000515500']
360	MA0770.1	HSF2	HSF2	ENSG00000025156	['ENST00000368455', 'ENST00000452194', 'ENST00000465214']
361	MA0771.1	HSF4	HSF4	ENSG00000102878	['ENST00000434833', 'ENST00000517680', 'ENST00000517685', 'ENST00000517729', 'ENST00000517750', 'ENST00000517867', 'ENST00000519105', 'ENST00000519224', 'ENST00000519601', 'ENST00000520247', 'ENST00000520304', 'ENST00000520528', 'ENST00000520833', 'ENST00000521314', 'ENST00000521374', 'ENST00000521624', 'ENST00000521916', 'ENST00000522023', 'ENST00000522027', 'ENST00000522295', 'ENST00000522459', 'ENST00000522870', 'ENST00000523077', 'ENST00000523562', 'ENST00000584272']
362	MA0772.1	IRF7	IRF7	ENSG00000185507	['ENST00000330243', 'ENST00000348655', 'ENST00000397566', 'ENST00000397570', 'ENST00000397574', 'ENST00000469048', 'ENST00000525445', 'ENST00000525750', 'ENST00000527160', 'ENST00000528413', 'ENST00000531912', 'ENST00000532096', 'ENST00000532326', 'ENST00000532788', 'ENST00000533182', 'ENST00000533190', 'ENST00000647801', 'ENST00000649187']
363	MA0773.1	MEF2D	MEF2D	ENSG00000116604	['ENST00000348159', 'ENST00000360595', 'ENST00000368240', 'ENST00000464356', 'ENST00000475587', 'ENST00000489057', 'ENST00000493077']
364	MA0774.1	MEIS2	MEIS2	ENSG00000134138	['ENST00000314177', 'ENST00000338564', 'ENST00000340545', 'ENST00000397620', 'ENST00000397624', 'ENST00000424352', 'ENST00000557796', 'ENST00000557992', 'ENST00000558313', 'ENST00000558643', 'ENST00000559085', 'ENST00000559129', 'ENST00000559371', 'ENST00000559408', 'ENST00000559561', 'ENST00000559972', 'ENST00000560570', 'ENST00000560617', 'ENST00000560697', 'ENST00000560702', 'ENST00000561163', 'ENST00000561208', 'ENST00000561264', 'ENST00000561284', 'ENST00000561422', 'ENST00000606653', 'ENST00000607277']
365	MA0775.1	MEIS3	MEIS3	ENSG00000105419	['ENST00000331559', 'ENST00000441740', 'ENST00000557833', 'ENST00000558555', 'ENST00000559338', 'ENST00000559524', 'ENST00000560245', 'ENST00000560253', 'ENST00000561040', 'ENST00000561096', 'ENST00000561204', 'ENST00000561293', 'ENST00000607330', 'ENST00000607695']
366	MA0776.1	MYBL1	MYBL1	ENSG00000185697	['ENST00000517885', 'ENST00000518079', 'ENST00000522419', 'ENST00000522677', 'ENST00000523304', 'ENST00000524176']
367	MA0777.1	MYBL2	MYBL2	ENSG00000101057	['ENST00000217026', 'ENST00000396863']
368	MA0778.1	NFKB2	NFKB2	ENSG00000077150	['ENST00000189444', 'ENST00000336486', 'ENST00000369966', 'ENST00000428099', 'ENST00000467116', 'ENST00000471698', 'ENST00000473400', 'ENST00000601386', 'ENST00000651907', 'ENST00000652277']
369	MA0779.1	PAX1	PAX1	ENSG00000125813	['ENST00000398485', 'ENST00000444366', 'ENST00000460221', 'ENST00000485038', 'ENST00000613128']
370	MA0780.1	PAX3	PAX3	ENSG00000135903	['ENST00000258387', 'ENST00000336840', 'ENST00000344493', 'ENST00000350526', 'ENST00000392069', 'ENST00000392070', 'ENST00000409551', 'ENST00000409828', 'ENST00000464706', 'ENST00000555548', 'ENST00000644490', 'ENST00000644699', 'ENST00000644937', 'ENST00000646154', 'ENST00000647467']
371	MA0781.1	PAX9	PAX9	ENSG00000198807	['ENST00000361487', 'ENST00000402703', 'ENST00000553267', 'ENST00000554201', 'ENST00000555639', 'ENST00000557107']
372	MA0782.1	PKNOX1	PKNOX1	ENSG00000160199	['ENST00000291547', 'ENST00000418336', 'ENST00000432907', 'ENST00000456957', 'ENST00000474336', 'ENST00000480179', 'ENST00000557820', 'ENST00000558955', 'ENST00000560448', 'ENST00000607049', 'ENST00000607150']
373	MA0783.1	PKNOX2	PKNOX2	ENSG00000165495	['ENST00000298282', 'ENST00000526955', 'ENST00000527238', 'ENST00000530517', 'ENST00000531116', 'ENST00000531212', 'ENST00000532623', 'ENST00000557814', 'ENST00000558705', 'ENST00000558729', 'ENST00000559662', 'ENST00000561115', 'ENST00000561298', 'ENST00000561399']
374	MA0784.1	POU1F1	POU1F1	ENSG00000064835	['ENST00000344265', 'ENST00000350375', 'ENST00000560656', 'ENST00000561167']
375	MA0785.1	POU2F1	POU2F1	ENSG00000143190	['ENST00000271411', 'ENST00000367862', 'ENST00000367865', 'ENST00000367866', 'ENST00000420254', 'ENST00000429375', 'ENST00000442313', 'ENST00000443275', 'ENST00000470928', 'ENST00000490100', 'ENST00000492850', 'ENST00000541643', 'ENST00000557909', 'ENST00000559038', 'ENST00000559648', 'ENST00000560232', 'ENST00000648671']
376	MA0786.1	POU3F1	POU3F1	ENSG00000185668	ENST00000373012
377	MA0787.1	POU3F2	POU3F2	ENSG00000184486	ENST00000328345
378	MA0788.1	POU3F3	POU3F3	ENSG00000198914	ENST00000361360
379	MA0789.1	POU3F4	POU3F4	ENSG00000196767	['ENST00000373200', 'ENST00000644024']
380	MA0790.1	POU4F1	POU4F1	ENSG00000152192	ENST00000377208
381	MA0791.1	POU4F3	POU4F3	ENSG00000091010	ENST00000646991
382	MA0792.1	POU5F1B	POU5F1B	ENSG00000212993	['ENST00000465342', 'ENST00000645438']
383	MA0793.1	POU6F2	POU6F2	ENSG00000106536	['ENST00000403058', 'ENST00000416452', 'ENST00000426456', 'ENST00000451021', 'ENST00000464276', 'ENST00000517348', 'ENST00000518318', 'ENST00000520104', 'ENST00000524147', 'ENST00000559001']
384	MA0794.1	PROX1	PROX1	ENSG00000117707	['ENST00000261454', 'ENST00000366958', 'ENST00000435016', 'ENST00000471129', 'ENST00000498508', 'ENST00000607425', 'ENST00000607726']
385	MA0795.1	SMAD3	SMAD3	ENSG00000166949	['ENST00000327367', 'ENST00000439724', 'ENST00000537194', 'ENST00000540846', 'ENST00000558428', 'ENST00000558739', 'ENST00000558763', 'ENST00000558827', 'ENST00000558894', 'ENST00000559092', 'ENST00000559460', 'ENST00000559937', 'ENST00000560175', 'ENST00000560402', 'ENST00000560424']
386	MA0796.1	TGIF1	TGIF1	ENSG00000177426	['ENST00000330513', 'ENST00000343820', 'ENST00000345133', 'ENST00000400167', 'ENST00000401449', 'ENST00000405385', 'ENST00000407501', 'ENST00000472042', 'ENST00000546979', 'ENST00000547233', 'ENST00000548489', 'ENST00000549253', 'ENST00000549468', 'ENST00000549546', 'ENST00000549780', 'ENST00000550958', 'ENST00000551333', 'ENST00000551402', 'ENST00000551541', 'ENST00000551557', 'ENST00000552383', 'ENST00000577543', 'ENST00000618001']
387	MA0797.1	TGIF2	TGIF2	ENSG00000118707	['ENST00000373872', 'ENST00000373874', 'ENST00000557885', 'ENST00000558028', 'ENST00000558465', 'ENST00000560025', 'ENST00000561398', 'ENST00000611732', 'ENST00000650844']
388	MA0798.1	RFX3	RFX3	ENSG00000080298	['ENST00000302303', 'ENST00000358730', 'ENST00000381984', 'ENST00000382004', 'ENST00000420720', 'ENST00000442560', 'ENST00000449190', 'ENST00000449234', 'ENST00000451859', 'ENST00000457373', 'ENST00000458034', 'ENST00000617270']
389	MA0799.1	RFX4	RFX4	ENSG00000111783	['ENST00000229387', 'ENST00000357881', 'ENST00000392842', 'ENST00000536688', 'ENST00000536722', 'ENST00000539967', 'ENST00000546882', 'ENST00000549040', 'ENST00000551640', 'ENST00000552773', 'ENST00000552866', 'ENST00000552917']
390	MA0800.1	EOMES	EOMES	ENSG00000163508	['ENST00000295743', 'ENST00000449599', 'ENST00000461503']
391	MA0801.1	MGA	MGA	ENSG00000174197	['ENST00000219905', 'ENST00000545763', 'ENST00000561532', 'ENST00000563576', 'ENST00000564190', 'ENST00000566288', 'ENST00000566586', 'ENST00000566718', 'ENST00000568255', 'ENST00000568630', 'ENST00000570161', 'ENST00000619521']
392	MA0802.1	TBR1	TBR1	ENSG00000136535	['ENST00000389554', 'ENST00000410035', 'ENST00000411412', 'ENST00000463544', 'ENST00000477804', 'ENST00000489530']
393	MA0803.1	TBX15	TBX15	ENSG00000092607	['ENST00000207157', 'ENST00000369429', 'ENST00000449873']
394	MA0804.1	TBX19	TBX19	ENSG00000143178	['ENST00000367821', 'ENST00000431969', 'ENST00000441464', 'ENST00000465440']
395	MA0805.1	TBX1	TBX1	ENSG00000184058	['ENST00000329705', 'ENST00000332710', 'ENST00000359500', 'ENST00000475303', 'ENST00000484336', 'ENST00000649276']
396	MA0806.1	TBX4	TBX4	ENSG00000121075	['ENST00000240335', 'ENST00000393853', 'ENST00000586874', 'ENST00000589003', 'ENST00000589449', 'ENST00000590174', 'ENST00000593249', 'ENST00000642491', 'ENST00000644296']
397	MA0807.1	TBX5	TBX5	ENSG00000089225	['ENST00000310346', 'ENST00000349716', 'ENST00000405440', 'ENST00000526441', 'ENST00000552726']
398	MA0808.1	TEAD3	TEAD3	ENSG00000007866	['ENST00000338863', 'ENST00000402886', 'ENST00000639578']
399	MA0809.1	TEAD4	TEAD4	ENSG00000197905	['ENST00000358409', 'ENST00000359864', 'ENST00000397122', 'ENST00000443986', 'ENST00000536826', 'ENST00000540314', 'ENST00000543035', 'ENST00000544666']
400	MA0810.1	TFAP2A(var.2)	TFAP2A	ENSG00000137203	['ENST00000319516', 'ENST00000379608', 'ENST00000379613', 'ENST00000461628', 'ENST00000462727', 'ENST00000464323', 'ENST00000465858', 'ENST00000466073', 'ENST00000473652', 'ENST00000474952', 'ENST00000475264', 'ENST00000478375', 'ENST00000482890', 'ENST00000486038', 'ENST00000488193', 'ENST00000489805', 'ENST00000490875', 'ENST00000497266', 'ENST00000498450']
401	MA0811.1	TFAP2B	TFAP2B	ENSG00000008196	['ENST00000344788', 'ENST00000393655', 'ENST00000489228']
402	MA0812.1	TFAP2B(var.2)	TFAP2B	ENSG00000008196	['ENST00000344788', 'ENST00000393655', 'ENST00000489228']
403	MA0813.1	TFAP2B(var.3)	TFAP2B	ENSG00000008196	['ENST00000344788', 'ENST00000393655', 'ENST00000489228']
404	MA0814.1	TFAP2C(var.2)	TFAP2C	ENSG00000087510	['ENST00000201031', 'ENST00000416606']
405	MA0815.1	TFAP2C(var.3)	TFAP2C	ENSG00000087510	['ENST00000201031', 'ENST00000416606']
406	MA0817.1	BHLHE23	BHLHE23	ENSG00000125533	['ENST00000370346', 'ENST00000612929']
407	MA0818.1	BHLHE22	BHLHE22	ENSG00000180828	ENST00000321870
408	MA0819.1	CLOCK	CLOCK	ENSG00000134852	['ENST00000309964', 'ENST00000381322', 'ENST00000435527', 'ENST00000479384', 'ENST00000506747', 'ENST00000506923', 'ENST00000508049', 'ENST00000509151', 'ENST00000511124', 'ENST00000513033', 'ENST00000513440']
409	MA0820.1	FIGLA	FIGLA	ENSG00000183733	ENST00000332372
410	MA0821.1	HES5	HES5	ENSG00000273529	['ENST00000612705', 'ENST00000627397']
411	MA0822.1	HES7	HES7	ENSG00000179111	['ENST00000317814', 'ENST00000541682', 'ENST00000577735']
412	MA0823.1	HEY1	HEY1	ENSG00000164683	['ENST00000337919', 'ENST00000354724', 'ENST00000435063', 'ENST00000518733', 'ENST00000519075', 'ENST00000521111', 'ENST00000523531', 'ENST00000523976']
413	MA0824.1	ID4	ID4	ENSG00000172201	ENST00000378700
414	MA0825.1	MNT	MNT	ENSG00000070444	['ENST00000174618', 'ENST00000571232', 'ENST00000571836', 'ENST00000572892', 'ENST00000573384', 'ENST00000574559', 'ENST00000575374', 'ENST00000575394', 'ENST00000575402']
415	MA0826.1	OLIG1	OLIG1	ENSG00000184221	['ENST00000382348', 'ENST00000426947', 'ENST00000498799']
416	MA0827.1	OLIG3	OLIG3	ENSG00000177468	ENST00000367734
417	MA0828.1	SREBF2(var.2)	SREBF2	ENSG00000198911	['ENST00000361204', 'ENST00000424354', 'ENST00000435061', 'ENST00000462539', 'ENST00000463741', 'ENST00000464119', 'ENST00000490262', 'ENST00000491541', 'ENST00000612482']
418	MA0830.1	TCF4	TCF4	ENSG00000196628	['ENST00000354452', 'ENST00000356073', 'ENST00000398339', 'ENST00000457482', 'ENST00000537578', 'ENST00000537856', 'ENST00000540999', 'ENST00000543082', 'ENST00000544241', 'ENST00000561831', 'ENST00000561992', 'ENST00000562030', 'ENST00000562543', 'ENST00000562607', 'ENST00000562638', 'ENST00000562680', 'ENST00000562847', 'ENST00000563686', 'ENST00000563760', 'ENST00000563824', 'ENST00000563888', 'ENST00000564228', 'ENST00000564343', 'ENST00000564403', 'ENST00000564999', 'ENST00000565018', 'ENST00000565124', 'ENST00000565393', 'ENST00000565580', 'ENST00000565908', 'ENST00000566279', 'ENST00000566286', 'ENST00000566376', 'ENST00000566514', 'ENST00000566777', 'ENST00000567880', 'ENST00000568147', 'ENST00000568169', 'ENST00000568186', 'ENST00000568673', 'ENST00000568740', 'ENST00000569012', 'ENST00000569357', 'ENST00000570146', 'ENST00000570177', 'ENST00000570287', 'ENST00000590810', 'ENST00000616053', 'ENST00000625716', 'ENST00000625925', 'ENST00000626425', 'ENST00000626466', 'ENST00000626584', 'ENST00000626595', 'ENST00000626631', 'ENST00000627136', 'ENST00000627320', 'ENST00000627568', 'ENST00000627685', 'ENST00000627784', 'ENST00000628078', 'ENST00000628360', 'ENST00000628391', 'ENST00000628636', 'ENST00000628689', 'ENST00000629343', 'ENST00000629387', 'ENST00000630224', 'ENST00000630268', 'ENST00000630319', 'ENST00000630712', 'ENST00000630720', 'ENST00000630828', 'ENST00000631043', 'ENST00000635822', 'ENST00000635990', 'ENST00000636400', 'ENST00000636710', 'ENST00000636751', 'ENST00000636822', 'ENST00000637068', 'ENST00000637115', 'ENST00000637169', 'ENST00000637239', 'ENST00000637250', 'ENST00000637500', 'ENST00000637923', 'ENST00000637941', 'ENST00000638154', 'ENST00000643689']
419	MA0831.1	TFE3	TFE3	ENSG00000068323	['ENST00000315869', 'ENST00000481606', 'ENST00000487451', 'ENST00000493583', 'ENST00000495940']
420	MA0831.2	TFE3	TFE3	ENSG00000068323	['ENST00000315869', 'ENST00000481606', 'ENST00000487451', 'ENST00000493583', 'ENST00000495940']
421	MA0833.1	ATF4	ATF4	ENSG00000128272	['ENST00000337304', 'ENST00000396680', 'ENST00000404241']
422	MA0834.1	ATF7	ATF7	ENSG00000170653	['ENST00000420353', 'ENST00000456903', 'ENST00000546661', 'ENST00000548118', 'ENST00000548446', 'ENST00000550373', 'ENST00000551087', 'ENST00000551480', 'ENST00000588078', 'ENST00000588232', 'ENST00000589726', 'ENST00000591397']
423	MA0835.1	BATF3	BATF3	ENSG00000123685	['ENST00000243440', 'ENST00000471382', 'ENST00000478275']
424	MA0836.1	CEBPD	CEBPD	ENSG00000221869	ENST00000408965
425	MA0837.1	CEBPE	CEBPE	ENSG00000092067	ENST00000206513
426	MA0838.1	CEBPG	CEBPG	ENSG00000153879	['ENST00000284000', 'ENST00000585933', 'ENST00000652630']
427	MA0839.1	CREB3L1	CREB3L1	ENSG00000157613	['ENST00000527342', 'ENST00000530518', 'ENST00000534616', 'ENST00000534787', 'ENST00000616094', 'ENST00000621158']
428	MA0841.1	NFE2	NFE2	ENSG00000123405	['ENST00000312156', 'ENST00000435572', 'ENST00000540264', 'ENST00000553070', 'ENST00000553198']
429	MA0842.1	NRL	NRL	ENSG00000129535	['ENST00000396995', 'ENST00000396997', 'ENST00000397002', 'ENST00000558280', 'ENST00000560550', 'ENST00000561028']
430	MA0843.1	TEF	TEF	ENSG00000167074	['ENST00000266304', 'ENST00000406644', 'ENST00000413942']
431	MA0844.1	XBP1	XBP1	ENSG00000100219	['ENST00000216037', 'ENST00000344347', 'ENST00000403532', 'ENST00000405219', 'ENST00000482720', 'ENST00000484256', 'ENST00000611155']
432	MA0845.1	FOXB1	FOXB1	ENSG00000171956	['ENST00000396057', 'ENST00000558693', 'ENST00000560857']
433	MA0846.1	FOXC2	FOXC2	ENSG00000176692	['ENST00000320354', 'ENST00000649859']
434	MA0847.1	FOXD2	FOXD2	ENSG00000186564	ENST00000334793
435	MA0848.1	FOXO4	FOXO4	ENSG00000184481	['ENST00000341558', 'ENST00000374259', 'ENST00000464598', 'ENST00000466874']
436	MA0849.1	FOXO6	FOXO6	ENSG00000204060	['ENST00000372591', 'ENST00000641094']
437	MA0850.1	FOXP3	FOXP3	ENSG00000049768	['ENST00000376197', 'ENST00000376199', 'ENST00000376207', 'ENST00000455775', 'ENST00000518685', 'ENST00000557224', 'ENST00000650877', 'ENST00000651307', 'ENST00000652559']
438	MA0852.2	FOXK1	FOXK1	ENSG00000164916	['ENST00000328914', 'ENST00000460979', 'ENST00000496023']
439	MA0855.1	RXRB	RXRB	ENSG00000206289	['ENST00000383216', 'ENST00000383217', 'ENST00000441299', 'ENST00000472425', 'ENST00000485267', 'ENST00000486581']
440	MA0856.1	RXRG	RXRG	ENSG00000143171	['ENST00000359842', 'ENST00000465764', 'ENST00000470566', 'ENST00000619224']
441	MA0861.1	TP73	TP73	ENSG00000078900	['ENST00000346387', 'ENST00000354437', 'ENST00000357733', 'ENST00000378280', 'ENST00000378285', 'ENST00000378288', 'ENST00000378290', 'ENST00000378295', 'ENST00000603362', 'ENST00000603364', 'ENST00000604074', 'ENST00000604194', 'ENST00000604479', 'ENST00000604566']
442	MA0862.1	GMEB2	GMEB2	ENSG00000101216	['ENST00000266068', 'ENST00000370069', 'ENST00000370077']
443	MA0863.1	MTF1	MTF1	ENSG00000188786	['ENST00000373036', 'ENST00000468190']
444	MA0864.1	E2F2	E2F2	ENSG00000007968	['ENST00000361729', 'ENST00000487237']
445	MA0865.1	E2F8	E2F8	ENSG00000129173	['ENST00000250024', 'ENST00000527884', 'ENST00000529188', 'ENST00000532666', 'ENST00000620009']
446	MA0866.1	SOX21	SOX21	ENSG00000125285	ENST00000376945
447	MA0867.1	SOX4	SOX4	ENSG00000124766	ENST00000244745
448	MA0868.1	SOX8	SOX8	ENSG00000005513	['ENST00000293894', 'ENST00000566034']
449	MA0871.1	TFEC	TFEC	ENSG00000105967	['ENST00000265440', 'ENST00000320239', 'ENST00000393485', 'ENST00000457268', 'ENST00000462828', 'ENST00000465322', 'ENST00000474337', 'ENST00000484212', 'ENST00000497829']
450	MA0872.1	TFAP2A(var.3)	TFAP2A	ENSG00000137203	['ENST00000319516', 'ENST00000379608', 'ENST00000379613', 'ENST00000461628', 'ENST00000462727', 'ENST00000464323', 'ENST00000465858', 'ENST00000466073', 'ENST00000473652', 'ENST00000474952', 'ENST00000475264', 'ENST00000478375', 'ENST00000482890', 'ENST00000486038', 'ENST00000488193', 'ENST00000489805', 'ENST00000490875', 'ENST00000497266', 'ENST00000498450']
451	MA0873.1	HOXD12	HOXD12	ENSG00000170178	['ENST00000404162', 'ENST00000406506']
452	MA0875.1	BARX1	BARX1	ENSG00000131668	['ENST00000253968', 'ENST00000401724']
453	MA0876.1	BSX	BSX	ENSG00000188909	ENST00000343035
454	MA0878.1	CDX1	CDX1	ENSG00000113722	['ENST00000231656', 'ENST00000616154']
455	MA0882.1	DLX6	DLX6	ENSG00000006377	['ENST00000493273', 'ENST00000518156', 'ENST00000555308']
456	MA0884.1	DUXA	DUXA	ENSG00000258873	ENST00000554048
457	MA0886.1	EMX2	EMX2	ENSG00000170370	['ENST00000442245', 'ENST00000546446', 'ENST00000553456', 'ENST00000616794']
458	MA0887.1	EVX1	EVX1	ENSG00000106038	['ENST00000222761', 'ENST00000496902', 'ENST00000518886', 'ENST00000580535']
459	MA0888.1	EVX2	EVX2	ENSG00000174279	ENST00000308618
460	MA0889.1	GBX1	GBX1	ENSG00000164900	['ENST00000297537', 'ENST00000475831']
461	MA0890.1	GBX2	GBX2	ENSG00000168505	['ENST00000306318', 'ENST00000465889', 'ENST00000551105']
462	MA0891.1	GSC2	GSC2	ENSG00000063515	ENST00000086933
463	MA0892.1	GSX1	GSX1	ENSG00000169840	ENST00000302945
464	MA0893.1	GSX2	GSX2	ENSG00000180613	['ENST00000326902', 'ENST00000503800', 'ENST00000507839']
465	MA0894.1	HESX1	HESX1	ENSG00000163666	['ENST00000295934', 'ENST00000473921', 'ENST00000495160', 'ENST00000647958']
466	MA0895.1	HMBOX1	HMBOX1	ENSG00000147421	['ENST00000287701', 'ENST00000355231', 'ENST00000397358', 'ENST00000517386', 'ENST00000518080', 'ENST00000519047', 'ENST00000519662', 'ENST00000521516', 'ENST00000522468', 'ENST00000523613', 'ENST00000524238', 'ENST00000558662', 'ENST00000560269', 'ENST00000560357', 'ENST00000560599', 'ENST00000561377']
467	MA0899.1	HOXA10	HOXA10	ENSG00000253293	['ENST00000283921', 'ENST00000396344', 'ENST00000519593', 'ENST00000521421', 'ENST00000524368', 'ENST00000613671']
468	MA0900.1	HOXA2	HOXA2	ENSG00000105996	['ENST00000222718', 'ENST00000612779']
469	MA0901.1	HOXB13	HOXB13	ENSG00000159184	ENST00000290295
470	MA0902.1	HOXB2	HOXB2	ENSG00000173917	['ENST00000330070', 'ENST00000504772', 'ENST00000571287']
471	MA0903.1	HOXB3	HOXB3	ENSG00000120093	['ENST00000311626', 'ENST00000460160', 'ENST00000464266', 'ENST00000465120', 'ENST00000470495', 'ENST00000471459', 'ENST00000472863', 'ENST00000476342', 'ENST00000478644', 'ENST00000489475', 'ENST00000490677', 'ENST00000498678', 'ENST00000552000']
472	MA0905.1	HOXC10	HOXC10	ENSG00000180818	['ENST00000303460', 'ENST00000511575', 'ENST00000513413', 'ENST00000514415', 'ENST00000515593']
473	MA0906.1	HOXC12	HOXC12	ENSG00000123407	ENST00000243103
474	MA0907.1	HOXC13	HOXC13	ENSG00000123364	ENST00000243056
475	MA0908.1	HOXD11	HOXD11	ENSG00000128713	['ENST00000249504', 'ENST00000498438']
476	MA0909.1	HOXD13	HOXD13	ENSG00000128714	ENST00000392539
477	MA0914.1	ISL2	ISL2	ENSG00000159556	['ENST00000290759', 'ENST00000558437', 'ENST00000558656']
478	MA1100.1	ASCL1	ASCL1	ENSG00000139352	ENST00000266744
479	MA1101.1	BACH2	BACH2	ENSG00000112182	['ENST00000257749', 'ENST00000343122', 'ENST00000406998', 'ENST00000453877', 'ENST00000470301', 'ENST00000472023', 'ENST00000481150', 'ENST00000493201', 'ENST00000494747', 'ENST00000537989']
