	MA	gene_name	gene_name2	ensembl-gene	ensembl-transcript
125	MA0139.1	CTCF	CTCF	ENSG00000102974	['ENST00000264010', 'ENST00000401394', 'ENST00000566078', 'ENST00000642420', 'ENST00000642819', 'ENST00000642847', 'ENST00000642943', 'ENST00000643892', 'ENST00000644753', 'ENST00000644852', 'ENST00000644950', 'ENST00000645306', 'ENST00000645409', 'ENST00000645699', 'ENST00000646076', 'ENST00000646566', 'ENST00000646771']
126	MA0140.2	GATA1::TAL1	GATA1	ENSG00000102145	['ENST00000376665', 'ENST00000376670', 'ENST00000651144']
127	MA0141.3	ESRRB	ESRRB	ENSG00000119715	['ENST00000380887', 'ENST00000505752', 'ENST00000509242', 'ENST00000509323', 'ENST00000512784', 'ENST00000556177', 'ENST00000611036', 'ENST00000644823']
128	MA0144.2	STAT3	STAT3	ENSG00000168610	['ENST00000264657', 'ENST00000389272', 'ENST00000404395', 'ENST00000462269', 'ENST00000462286', 'ENST00000471989', 'ENST00000478276', 'ENST00000491272', 'ENST00000498330', 'ENST00000585360', 'ENST00000585517', 'ENST00000588065', 'ENST00000588969', 'ENST00000590776']
129	MA0145.3	TFCP2	TFCP2	ENSG00000135457	['ENST00000257915', 'ENST00000546822', 'ENST00000548108', 'ENST00000548115', 'ENST00000549867']
130	MA0147.3	MYC	MYC	ENSG00000136997	['ENST00000259523', 'ENST00000377970', 'ENST00000517291', 'ENST00000520751', 'ENST00000524013', 'ENST00000613283', 'ENST00000621592', 'ENST00000641036', 'ENST00000641252', 'ENST00000651626', 'ENST00000652131', 'ENST00000652288']
131	MA0148.1	FOXA1	FOXA1	ENSG00000129514	['ENST00000250448', 'ENST00000545425', 'ENST00000553751', 'ENST00000554607', 'ENST00000557418']
132	MA0148.2	FOXA1	FOXA1	ENSG00000129514	['ENST00000250448', 'ENST00000545425', 'ENST00000553751', 'ENST00000554607', 'ENST00000557418']
133	MA0148.3	FOXA1	FOXA1	ENSG00000129514	['ENST00000250448', 'ENST00000545425', 'ENST00000553751', 'ENST00000554607', 'ENST00000557418']
134	MA0149.1	EWSR1-FLI1	EWSR1-FLI1	ENSG00000182944	['ENST00000331029', 'ENST00000332035', 'ENST00000332050', 'ENST00000333395', 'ENST00000360091', 'ENST00000397938', 'ENST00000406548', 'ENST00000414183', 'ENST00000415761', 'ENST00000436425', 'ENST00000437155', 'ENST00000444626', 'ENST00000447973', 'ENST00000455726', 'ENST00000469669', 'ENST00000479135', 'ENST00000483415', 'ENST00000483629', 'ENST00000485037', 'ENST00000493426', 'ENST00000610553', 'ENST00000629659']
